state,bush,prop_resp,prop_ent,prop_pop
AL,23,0.7419354838709677,0.015384615384615385,0.016246186575793877
AR,6,0.5,0.005955334987593052,0.00945167544675639
AZ,23,0.696969696969697,0.016377171215880892,0.014736962211387563
CA,103,0.5421052631578948,0.09429280397022333,0.1196575778879514
CO,14,0.56,0.01240694789081886,0.013245931736694666
CT,16,0.6153846153846154,0.012903225806451613,0.013216668724687098
DC,0,0,0.001488833746898263,2.4401926336072714e-5
DE,2,0.2857142857142857,0.0034739454094292804,0.0026784943917365113
FL,76,0.6031746031746031,0.06253101736972705,0.052020154423061446
GA,30,0.6122448979591837,0.024317617866004962,0.02604728120302647
IA,7,0.35,0.009925558312655087,0.011164635189211005
ID,1,0.25,0.0019851116625310174,0.004047885143666974
IL,39,0.4588235294117647,0.04218362282878412,0.045959582794688654
IN,22,0.6470588235294118,0.01687344913151365,0.022291672353513686
KS,20,0.7407407407407407,0.013399503722084368,0.009961703450349154
KY,20,0.6451612903225806,0.015384615384615385,0.014817650604485652
LA,17,0.53125,0.01588089330024814,0.016967452675270354
MA,21,0.42,0.02481389578163772,0.0241905354517229
MD,8,0.25806451612903225,0.015384615384615385,0.019225083195631723
ME,6,0.46153846153846156,0.0064516129032258064,0.004937190410611484
MI,42,0.5060240963855421,0.04119106699751861,0.03737405712076416
MN,17,0.40476190476190477,0.020843672456575684,0.017591175401388267
MO,19,0.5135135135135135,0.01836228287841191,0.020574466700001088
MS,20,0.7142857142857143,0.013895781637717122,0.010346255936530513
MT,2,0.4,0.0024813895781637717,0.003212839885934082
NC,30,0.6818181818181818,0.02183622828784119,0.026652086304591534
ND,4,0.5714285714285714,0.0034739454094292804,2.5684545301504777e-5
NE,10,0.5882352941176471,0.008436724565756825,0.006346290080731938
NH,2,0.6666666666666666,0.001488833746898263,0.0044600239894778924
NJ,39,0.582089552238806,0.03325062034739454,0.0310811465051892
NM,11,0.4782608695652174,0.01141439205955335,0.006091712330213767
NV,3,0.75,0.0019851116625310174,0.004832268962639855
NY,69,0.4233128834355828,0.08089330024813896,0.07233510589263982
OH,67,0.6633663366336634,0.05012406947890819,0.043613527959945525
OK,11,0.6111111111111112,0.008933002481389578,0.012647608082691594
OR,6,0.3333333333333333,0.008933002481389578,0.011428259625222035
PA,51,0.5368421052631579,0.04714640198511166,0.04777310549308189
RI,5,0.4166666666666667,0.005955334987593052,0.0040346769828474
SC,20,0.6666666666666666,0.01488833746898263,0.01401915797689302
SD,3,0.5,0.002977667493796526,0.0027984574621209347
TN,35,0.7777777777777778,0.022332506203473945,0.019609937237996176
TX,75,0.5813953488372093,0.06401985111662531,0.0682984949294715
UT,11,1,0.005459057071960298,0.006927147600610129
VA,41,0.7068965517241379,0.028784119106699754,0.024877814158989982
VT,2,1,9.925558312655087e-4,0.002262708726484694
WA,31,0.5740740740740741,0.026799007444168736,0.01956774751760659
WI,26,0.48148148148148145,0.026799007444168736,0.019668575842986338
WV,16,0.5714285714285714,0.013895781637717122,0.0072111210478564315
WY,2,1,9.925558312655087e-4,0.0018237635463711568
